Stage Name,Knockout Stage,Match Date,Match Time,Home Team Id,Home Team Name,Away Team Id,Away Team Name,Home Team Score,Away Team Score,Home Team Score Margin,Away Team Score Margin,Key ID,Tournament Name,Award Id,Award Name,Shared,Player Id,Family Name,Give Name,Team Id,Team Name,Team Code
group stage,0,6/13/2014,18:00,T-13,Chile,T-04,Australia,3,1,2,-2,125,2014 FIFA World Cup,A-8,Best Young Player,0,P-06623,Pogba,Paul,T-28,France,FRA
group stage,0,6/14/2014,13:00,T-15,Colombia,T-31,Greece,3,0,3,-3,118,2014 FIFA World Cup,A-1,Golden Ball,0,P-03429,Messi,Lionel,T-03,Argentina,ARG
group stage,0,6/14/2014,13:00,T-15,Colombia,T-31,Greece,3,0,3,-3,119,2014 FIFA World Cup,A-2,Silver Ball,0,P-05090,Müller,Thomas,T-29,Germany,DEU
group stage,0,6/14/2014,13:00,T-15,Colombia,T-31,Greece,3,0,3,-3,120,2014 FIFA World Cup,A-3,Bronze Ball,0,P-04780,Robben,Arjen,T-46,Netherlands,NLD
group stage,0,6/14/2014,13:00,T-15,Colombia,T-31,Greece,3,0,3,-3,121,2014 FIFA World Cup,A-4,Golden Boot,0,P-03168,Rodríguez,James,T-15,Colombia,COL
group stage,0,6/14/2014,13:00,T-15,Colombia,T-31,Greece,3,0,3,-3,122,2014 FIFA World Cup,A-5,Silver Boot,0,P-05090,Müller,Thomas,T-29,Germany,DEU
group stage,0,6/14/2014,13:00,T-15,Colombia,T-31,Greece,3,0,3,-3,123,2014 FIFA World Cup,A-6,Bronze Boot,0,P-04984,Neymar,not applicable,T-09,Brazil,BRA
group stage,0,6/14/2014,13:00,T-15,Colombia,T-31,Greece,3,0,3,-3,124,2014 FIFA World Cup,A-7,Golden Glove,0,P-09934,Neuer,Manuel,T-29,Germany,DEU
group stage,0,6/14/2014,13:00,T-15,Colombia,T-31,Greece,3,0,3,-3,125,2014 FIFA World Cup,A-8,Best Young Player,0,P-06623,Pogba,Paul,T-28,France,FRA
group stage,0,6/14/2014,16:00,T-81,Uruguay,T-16,Costa Rica,1,3,-2,2,118,2014 FIFA World Cup,A-1,Golden Ball,0,P-03429,Messi,Lionel,T-03,Argentina,ARG
group stage,0,6/14/2014,16:00,T-81,Uruguay,T-16,Costa Rica,1,3,-2,2,119,2014 FIFA World Cup,A-2,Silver Ball,0,P-05090,Müller,Thomas,T-29,Germany,DEU
group stage,0,6/14/2014,16:00,T-81,Uruguay,T-16,Costa Rica,1,3,-2,2,120,2014 FIFA World Cup,A-3,Bronze Ball,0,P-04780,Robben,Arjen,T-46,Netherlands,NLD
group stage,0,6/14/2014,16:00,T-81,Uruguay,T-16,Costa Rica,1,3,-2,2,121,2014 FIFA World Cup,A-4,Golden Boot,0,P-03168,Rodríguez,James,T-15,Colombia,COL
group stage,0,6/14/2014,16:00,T-81,Uruguay,T-16,Costa Rica,1,3,-2,2,122,2014 FIFA World Cup,A-5,Silver Boot,0,P-05090,Müller,Thomas,T-29,Germany,DEU
group stage,0,6/14/2014,16:00,T-81,Uruguay,T-16,Costa Rica,1,3,-2,2,123,2014 FIFA World Cup,A-6,Bronze Boot,0,P-04984,Neymar,not applicable,T-09,Brazil,BRA
group stage,0,6/14/2014,16:00,T-81,Uruguay,T-16,Costa Rica,1,3,-2,2,124,2014 FIFA World Cup,A-7,Golden Glove,0,P-09934,Neuer,Manuel,T-29,Germany,DEU
group stage,0,6/14/2014,16:00,T-81,Uruguay,T-16,Costa Rica,1,3,-2,2,125,2014 FIFA World Cup,A-8,Best Young Player,0,P-06623,Pogba,Paul,T-28,France,FRA
group stage,0,6/14/2014,18:00,T-27,England,T-39,Italy,1,2,-1,1,118,2014 FIFA World Cup,A-1,Golden Ball,0,P-03429,Messi,Lionel,T-03,Argentina,ARG
