Key Id,Tournament Id,tournament Name,Match Id,Match Name,Stage Name,Group Name,Group Stage,Knockout Stage,Replayed,Replay,Match Date,Match Time,Stadium Id,Stadium Name,City Name,Country Name,Home Team Id,Home Team Name,Home Team Code,Away Team Id,Away Team Name,Away Team Code,Score,Home Team Score,Away Team Score,Home Team Score Margin,Away Team Score Margin,Extra Time,Penalty Shootout,Score Penalties,Home Team Score Penalties,Away Team Score Penalties,Result,Home Team Win,Away Team Win,Draw,Key ID,Tournament Name,Award Id,Award Name,Shared,Player Id,Family Name,Give Name,Team Id,Team Name,Team Code
601,WC-2002,2002 FIFA World Cup,M-2002-21,Sweden v Nigeria,group stage,Group F,1,0,0,0,6/7/2002,15:30,S-086,Kobe Wing Stadium,Kobe,Japan,T-72,Sweden,SWE,T-48,Nigeria,NGA,21,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,98,2002 FIFA World Cup,A-5,Silver Boot,1,P-05224,Klose,Miroslav,T-29,Germany,DEU
601,WC-2002,2002 FIFA World Cup,M-2002-21,Sweden v Nigeria,group stage,Group F,1,0,0,0,6/7/2002,15:30,S-086,Kobe Wing Stadium,Kobe,Japan,T-72,Sweden,SWE,T-48,Nigeria,NGA,21,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,99,2002 FIFA World Cup,A-5,Silver Boot,1,P-09998,Rivaldo,not applicable,T-09,Brazil,BRA
601,WC-2002,2002 FIFA World Cup,M-2002-21,Sweden v Nigeria,group stage,Group F,1,0,0,0,6/7/2002,15:30,S-086,Kobe Wing Stadium,Kobe,Japan,T-72,Sweden,SWE,T-48,Nigeria,NGA,21,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,100,2002 FIFA World Cup,A-7,Golden Glove,0,P-06964,Kahn,Oliver,T-29,Germany,DEU
601,WC-2002,2002 FIFA World Cup,M-2002-21,Sweden v Nigeria,group stage,Group F,1,0,0,0,6/7/2002,15:30,S-086,Kobe Wing Stadium,Kobe,Japan,T-72,Sweden,SWE,T-48,Nigeria,NGA,21,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,101,2002 FIFA World Cup,A-8,Best Young Player,0,P-03827,Donovan,Landon,T-80,United States,USA
602,WC-2002,2002 FIFA World Cup,M-2002-22,Spain v Paraguay,group stage,Group B,1,0,0,0,6/7/2002,18:00,S-142,Jeonju World Cup Stadium,Jeonju,South Korea,T-71,Spain,ESP,T-53,Paraguay,PRY,31,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,94,2002 FIFA World Cup,A-1,Golden Ball,0,P-06964,Kahn,Oliver,T-29,Germany,DEU
602,WC-2002,2002 FIFA World Cup,M-2002-22,Spain v Paraguay,group stage,Group B,1,0,0,0,6/7/2002,18:00,S-142,Jeonju World Cup Stadium,Jeonju,South Korea,T-71,Spain,ESP,T-53,Paraguay,PRY,31,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,95,2002 FIFA World Cup,A-2,Silver Ball,0,P-08490,Ronaldo,not applicable,T-09,Brazil,BRA
602,WC-2002,2002 FIFA World Cup,M-2002-22,Spain v Paraguay,group stage,Group B,1,0,0,0,6/7/2002,18:00,S-142,Jeonju World Cup Stadium,Jeonju,South Korea,T-71,Spain,ESP,T-53,Paraguay,PRY,31,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,96,2002 FIFA World Cup,A-3,Bronze Ball,0,P-04888,Hong,Myung-bo,T-69,South Korea,KOR
602,WC-2002,2002 FIFA World Cup,M-2002-22,Spain v Paraguay,group stage,Group B,1,0,0,0,6/7/2002,18:00,S-142,Jeonju World Cup Stadium,Jeonju,South Korea,T-71,Spain,ESP,T-53,Paraguay,PRY,31,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,97,2002 FIFA World Cup,A-4,Golden Boot,0,P-08490,Ronaldo,not applicable,T-09,Brazil,BRA
602,WC-2002,2002 FIFA World Cup,M-2002-22,Spain v Paraguay,group stage,Group B,1,0,0,0,6/7/2002,18:00,S-142,Jeonju World Cup Stadium,Jeonju,South Korea,T-71,Spain,ESP,T-53,Paraguay,PRY,31,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,98,2002 FIFA World Cup,A-5,Silver Boot,1,P-05224,Klose,Miroslav,T-29,Germany,DEU
602,WC-2002,2002 FIFA World Cup,M-2002-22,Spain v Paraguay,group stage,Group B,1,0,0,0,6/7/2002,18:00,S-142,Jeonju World Cup Stadium,Jeonju,South Korea,T-71,Spain,ESP,T-53,Paraguay,PRY,31,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,99,2002 FIFA World Cup,A-5,Silver Boot,1,P-09998,Rivaldo,not applicable,T-09,Brazil,BRA
602,WC-2002,2002 FIFA World Cup,M-2002-22,Spain v Paraguay,group stage,Group B,1,0,0,0,6/7/2002,18:00,S-142,Jeonju World Cup Stadium,Jeonju,South Korea,T-71,Spain,ESP,T-53,Paraguay,PRY,31,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,100,2002 FIFA World Cup,A-7,Golden Glove,0,P-06964,Kahn,Oliver,T-29,Germany,DEU
602,WC-2002,2002 FIFA World Cup,M-2002-22,Spain v Paraguay,group stage,Group B,1,0,0,0,6/7/2002,18:00,S-142,Jeonju World Cup Stadium,Jeonju,South Korea,T-71,Spain,ESP,T-53,Paraguay,PRY,31,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,101,2002 FIFA World Cup,A-8,Best Young Player,0,P-03827,Donovan,Landon,T-80,United States,USA
603,WC-2002,2002 FIFA World Cup,M-2002-23,Argentina v England,group stage,Group F,1,0,0,0,6/7/2002,20:30,S-092,Sapporo Dome,Sapporo,Japan,T-03,Argentina,ARG,T-27,England,ENG,01,0,1,-1,1,0,0,0-0,0,0,away team win,0,1,0,94,2002 FIFA World Cup,A-1,Golden Ball,0,P-06964,Kahn,Oliver,T-29,Germany,DEU
603,WC-2002,2002 FIFA World Cup,M-2002-23,Argentina v England,group stage,Group F,1,0,0,0,6/7/2002,20:30,S-092,Sapporo Dome,Sapporo,Japan,T-03,Argentina,ARG,T-27,England,ENG,01,0,1,-1,1,0,0,0-0,0,0,away team win,0,1,0,95,2002 FIFA World Cup,A-2,Silver Ball,0,P-08490,Ronaldo,not applicable,T-09,Brazil,BRA
603,WC-2002,2002 FIFA World Cup,M-2002-23,Argentina v England,group stage,Group F,1,0,0,0,6/7/2002,20:30,S-092,Sapporo Dome,Sapporo,Japan,T-03,Argentina,ARG,T-27,England,ENG,01,0,1,-1,1,0,0,0-0,0,0,away team win,0,1,0,96,2002 FIFA World Cup,A-3,Bronze Ball,0,P-04888,Hong,Myung-bo,T-69,South Korea,KOR
603,WC-2002,2002 FIFA World Cup,M-2002-23,Argentina v England,group stage,Group F,1,0,0,0,6/7/2002,20:30,S-092,Sapporo Dome,Sapporo,Japan,T-03,Argentina,ARG,T-27,England,ENG,01,0,1,-1,1,0,0,0-0,0,0,away team win,0,1,0,97,2002 FIFA World Cup,A-4,Golden Boot,0,P-08490,Ronaldo,not applicable,T-09,Brazil,BRA
603,WC-2002,2002 FIFA World Cup,M-2002-23,Argentina v England,group stage,Group F,1,0,0,0,6/7/2002,20:30,S-092,Sapporo Dome,Sapporo,Japan,T-03,Argentina,ARG,T-27,England,ENG,01,0,1,-1,1,0,0,0-0,0,0,away team win,0,1,0,98,2002 FIFA World Cup,A-5,Silver Boot,1,P-05224,Klose,Miroslav,T-29,Germany,DEU
603,WC-2002,2002 FIFA World Cup,M-2002-23,Argentina v England,group stage,Group F,1,0,0,0,6/7/2002,20:30,S-092,Sapporo Dome,Sapporo,Japan,T-03,Argentina,ARG,T-27,England,ENG,01,0,1,-1,1,0,0,0-0,0,0,away team win,0,1,0,99,2002 FIFA World Cup,A-5,Silver Boot,1,P-09998,Rivaldo,not applicable,T-09,Brazil,BRA
603,WC-2002,2002 FIFA World Cup,M-2002-23,Argentina v England,group stage,Group F,1,0,0,0,6/7/2002,20:30,S-092,Sapporo Dome,Sapporo,Japan,T-03,Argentina,ARG,T-27,England,ENG,01,0,1,-1,1,0,0,0-0,0,0,away team win,0,1,0,100,2002 FIFA World Cup,A-7,Golden Glove,0,P-06964,Kahn,Oliver,T-29,Germany,DEU
603,WC-2002,2002 FIFA World Cup,M-2002-23,Argentina v England,group stage,Group F,1,0,0,0,6/7/2002,20:30,S-092,Sapporo Dome,Sapporo,Japan,T-03,Argentina,ARG,T-27,England,ENG,01,0,1,-1,1,0,0,0-0,0,0,away team win,0,1,0,101,2002 FIFA World Cup,A-8,Best Young Player,0,P-03827,Donovan,Landon,T-80,United States,USA
604,WC-2002,2002 FIFA World Cup,M-2002-24,South Africa v Slovenia,group stage,Group B,1,0,0,0,6/8/2002,15:30,S-138,Daegu World Cup Stadium,Daegu,South Korea,T-68,South Africa,ZAF,T-67,Slovenia,SVN,10,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,94,2002 FIFA World Cup,A-1,Golden Ball,0,P-06964,Kahn,Oliver,T-29,Germany,DEU
604,WC-2002,2002 FIFA World Cup,M-2002-24,South Africa v Slovenia,group stage,Group B,1,0,0,0,6/8/2002,15:30,S-138,Daegu World Cup Stadium,Daegu,South Korea,T-68,South Africa,ZAF,T-67,Slovenia,SVN,10,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,95,2002 FIFA World Cup,A-2,Silver Ball,0,P-08490,Ronaldo,not applicable,T-09,Brazil,BRA
604,WC-2002,2002 FIFA World Cup,M-2002-24,South Africa v Slovenia,group stage,Group B,1,0,0,0,6/8/2002,15:30,S-138,Daegu World Cup Stadium,Daegu,South Korea,T-68,South Africa,ZAF,T-67,Slovenia,SVN,10,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,96,2002 FIFA World Cup,A-3,Bronze Ball,0,P-04888,Hong,Myung-bo,T-69,South Korea,KOR
604,WC-2002,2002 FIFA World Cup,M-2002-24,South Africa v Slovenia,group stage,Group B,1,0,0,0,6/8/2002,15:30,S-138,Daegu World Cup Stadium,Daegu,South Korea,T-68,South Africa,ZAF,T-67,Slovenia,SVN,10,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,97,2002 FIFA World Cup,A-4,Golden Boot,0,P-08490,Ronaldo,not applicable,T-09,Brazil,BRA
604,WC-2002,2002 FIFA World Cup,M-2002-24,South Africa v Slovenia,group stage,Group B,1,0,0,0,6/8/2002,15:30,S-138,Daegu World Cup Stadium,Daegu,South Korea,T-68,South Africa,ZAF,T-67,Slovenia,SVN,10,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,98,2002 FIFA World Cup,A-5,Silver Boot,1,P-05224,Klose,Miroslav,T-29,Germany,DEU
604,WC-2002,2002 FIFA World Cup,M-2002-24,South Africa v Slovenia,group stage,Group B,1,0,0,0,6/8/2002,15:30,S-138,Daegu World Cup Stadium,Daegu,South Korea,T-68,South Africa,ZAF,T-67,Slovenia,SVN,10,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,99,2002 FIFA World Cup,A-5,Silver Boot,1,P-09998,Rivaldo,not applicable,T-09,Brazil,BRA
604,WC-2002,2002 FIFA World Cup,M-2002-24,South Africa v Slovenia,group stage,Group B,1,0,0,0,6/8/2002,15:30,S-138,Daegu World Cup Stadium,Daegu,South Korea,T-68,South Africa,ZAF,T-67,Slovenia,SVN,10,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,100,2002 FIFA World Cup,A-7,Golden Glove,0,P-06964,Kahn,Oliver,T-29,Germany,DEU
604,WC-2002,2002 FIFA World Cup,M-2002-24,South Africa v Slovenia,group stage,Group B,1,0,0,0,6/8/2002,15:30,S-138,Daegu World Cup Stadium,Daegu,South Korea,T-68,South Africa,ZAF,T-67,Slovenia,SVN,10,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,101,2002 FIFA World Cup,A-8,Best Young Player,0,P-03827,Donovan,Landon,T-80,United States,USA
605,WC-2002,2002 FIFA World Cup,M-2002-25,Italy v Croatia,group stage,Group G,1,0,0,0,6/8/2002,18:00,S-085,Kashima Stadium,Ibaraki,Japan,T-39,Italy,ITA,T-17,Croatia,HRV,12,1,2,-1,1,0,0,0-0,0,0,away team win,0,1,0,94,2002 FIFA World Cup,A-1,Golden Ball,0,P-06964,Kahn,Oliver,T-29,Germany,DEU
605,WC-2002,2002 FIFA World Cup,M-2002-25,Italy v Croatia,group stage,Group G,1,0,0,0,6/8/2002,18:00,S-085,Kashima Stadium,Ibaraki,Japan,T-39,Italy,ITA,T-17,Croatia,HRV,12,1,2,-1,1,0,0,0-0,0,0,away team win,0,1,0,95,2002 FIFA World Cup,A-2,Silver Ball,0,P-08490,Ronaldo,not applicable,T-09,Brazil,BRA
